iter	Passed	Remaining
0	1	146
1	2	138
2	4	133
3	5	128
4	6	121
5	7	125
6	8	118
7	9	113
8	11	116
9	13	117
10	14	119
11	16	119
12	17	117
13	19	117
14	20	117
15	22	119
16	24	118
17	26	119
18	27	118
19	29	117
20	30	115
21	32	116
22	35	117
23	36	116
24	39	117
25	40	116
26	42	114
27	44	113
28	45	111
29	47	110
30	48	107
31	50	106
32	51	104
33	54	105
34	55	103
35	56	101
36	58	99
37	59	97
38	61	96
39	62	94
40	64	92
41	65	90
42	67	88
43	68	87
44	69	85
45	71	83
46	72	81
47	73	79
48	75	78
49	76	76
50	77	74
51	79	73
52	81	72
53	82	70
54	83	68
55	85	66
56	86	64
57	88	63
58	89	61
59	90	60
60	92	59
61	93	57
62	94	55
63	95	53
64	97	52
65	97	50
66	98	48
67	100	47
68	101	45
69	102	43
70	104	42
71	106	41
72	107	39
73	109	38
74	110	36
75	111	35
76	113	33
77	114	32
78	115	30
79	117	29
80	118	27
81	120	26
82	122	24
83	122	23
84	124	21
85	125	20
86	126	18
87	127	17
88	128	15
89	130	14
90	132	13
91	133	11
92	135	10
93	136	8
94	137	7
95	138	5
96	139	4
97	140	2
98	141	1
99	142	0
