iter	Passed	Remaining
0	138	138204
1	145	72391
2	152	50804
3	156	38871
4	160	31915
5	164	27286
6	168	23877
7	171	21216
8	174	19179
9	176	17475
10	178	16039
11	180	14851
12	182	13823
13	183	12944
14	185	12158
15	186	11487
16	188	10894
17	189	10359
18	191	9884
19	192	9456
20	194	9075
21	196	8720
22	197	8386
23	198	8072
24	200	7804
25	201	7546
26	202	7305
27	204	7090
28	205	6877
29	206	6681
30	207	6495
31	208	6318
32	210	6159
33	212	6033
34	213	5894
35	215	5761
36	216	5638
37	218	5519
38	219	5405
39	220	5288
40	221	5185
41	223	5092
42	224	5007
43	226	4915
44	227	4831
45	229	4749
46	230	4670
47	232	4603
48	233	4528
49	234	4459
50	236	4395
51	237	4335
52	238	4266
53	240	4205
54	241	4151
55	242	4095
56	244	4042
57	245	3989
58	247	3949
59	248	3898
60	250	3854
61	251	3804
62	252	3759
63	254	3723
64	255	3677
65	257	3638
66	258	3603
67	259	3555
68	260	3514
69	261	3478
70	262	3439
71	264	3409
72	265	3372
73	266	3336
74	267	3302
75	269	3278
76	271	3250
77	272	3218
78	273	3188
79	274	3160
80	275	3129
81	276	3099
82	278	3073
83	280	3055
84	281	3031
85	282	3007
86	283	2979
87	285	2955
88	286	2932
89	287	2911
90	289	2888
91	290	2866
92	292	2854
93	294	2836
94	295	2813
95	296	2792
96	298	2774
97	299	2755
98	300	2735
99	301	2716
100	302	2696
101	304	2679
102	305	2662
103	306	2641
104	307	2624
105	309	2607
106	310	2591
107	311	2574
108	312	2557
109	313	2540
110	315	2526
111	317	2513
112	318	2496
113	319	2481
114	320	2466
115	321	2448
116	322	2437
117	324	2424
118	325	2409
119	326	2397
120	328	2385
121	329	2373
122	330	2356
123	331	2343
124	333	2331
125	334	2321
126	336	2313
127	337	2298
128	338	2287
129	340	2279
130	341	2268
131	343	2257
132	344	2247
133	346	2238
134	347	2227
135	349	2218
136	351	2212
137	352	2203
138	354	2194
139	355	2185
140	357	2178
141	359	2169
142	360	2162
143	362	2157
144	365	2154
145	367	2147
146	369	2142
147	371	2138
148	374	2136
149	376	2132
150	378	2129
151	381	2127
152	383	2125
153	386	2123
154	389	2123
155	392	2125
156	396	2126
157	399	2128
158	403	2132
159	406	2136
160	410	2140
161	414	2142
162	417	2146
163	421	2148
164	424	2148
165	427	2148
166	431	2154
167	435	2154
168	438	2154
169	441	2156
170	445	2158
171	448	2161
172	452	2161
173	455	2164
174	460	2171
175	463	2172
176	467	2173
177	470	2173
178	473	2172
179	476	2170
180	478	2164
181	481	2165
182	485	2168
183	488	2168
184	492	2168
185	494	2161
186	495	2154
187	496	2144
188	497	2135
189	498	2126
190	499	2117
191	501	2108
192	502	2101
193	503	2091
194	504	2082
195	505	2074
196	507	2068
197	508	2060
198	509	2052
199	511	2044
200	512	2036
201	513	2029
202	514	2020
203	515	2013
204	517	2005
205	518	1997
206	519	1989
207	521	1983
208	522	1976
209	524	1974
210	526	1967
211	527	1960
212	528	1953
213	530	1946
214	531	1941
215	532	1934
216	534	1929
217	537	1927
218	539	1922
219	540	1916
220	541	1909
221	543	1903
222	544	1897
223	546	1891
224	547	1886
225	549	1880
226	550	1875
227	552	1869
228	553	1862
229	554	1855
230	555	1849
231	556	1843
232	558	1837
233	559	1831
234	561	1826
235	562	1820
236	564	1815
237	565	1810
238	566	1804
239	568	1798
240	569	1792
241	570	1786
242	571	1779
243	572	1773
244	574	1769
245	575	1764
246	576	1758
247	577	1752
248	579	1746
249	580	1740
250	581	1734
251	582	1727
252	583	1721
253	584	1715
254	585	1709
255	586	1703
256	587	1699
257	589	1694
258	590	1689
259	591	1683
260	592	1677
261	593	1671
262	594	1666
263	595	1660
264	596	1654
265	597	1648
266	598	1643
267	600	1640
268	601	1635
269	603	1630
270	604	1626
271	605	1621
272	606	1616
273	608	1611
274	609	1606
275	610	1600
276	611	1595
277	612	1590
278	613	1585
279	615	1581
280	616	1577
281	617	1572
282	618	1567
283	619	1562
284	621	1558
285	622	1553
286	623	1548
287	624	1542
288	625	1538
289	626	1533
290	627	1528
291	629	1525
292	630	1520
293	631	1516
294	632	1511
295	633	1506
296	634	1502
297	635	1497
298	636	1492
299	637	1487
300	638	1483
301	639	1478
302	641	1475
303	643	1472
304	644	1468
305	645	1463
306	646	1459
307	647	1454
308	648	1451
309	649	1446
310	651	1442
311	652	1437
312	653	1434
313	654	1429
314	655	1425
315	656	1421
316	658	1418
317	659	1413
318	660	1409
319	661	1405
320	662	1401
321	663	1397
322	664	1392
323	665	1388
324	666	1384
325	668	1381
326	669	1377
327	670	1374
328	671	1370
329	672	1366
330	674	1362
331	675	1358
332	676	1354
333	677	1350
334	678	1347
335	679	1343
336	680	1339
337	682	1336
338	684	1333
339	685	1330
340	686	1326
341	687	1323
342	688	1319
343	689	1315
