iter	Passed	Remaining
0	141	141680
1	146	73300
2	151	50319
3	154	38467
4	157	31330
5	159	26371
6	160	22809
7	162	20165
8	164	18106
9	166	16439
10	167	15059
11	169	13925
12	170	12976
13	172	12149
14	174	11426
15	175	10796
16	177	10240
17	178	9744
18	180	9300
19	181	8900
20	183	8533
21	184	8199
22	186	7903
23	187	7635
24	189	7372
25	190	7137
26	191	6918
27	193	6712
28	194	6525
29	196	6349
30	197	6183
31	199	6030
32	201	5890
33	202	5749
34	203	5624
35	205	5505
36	207	5395
37	209	5293
38	210	5186
39	212	5089
40	213	4993
41	214	4901
42	216	4819
43	217	4734
44	219	4651
45	220	4569
46	221	4493
47	222	4419
48	223	4345
49	225	4279
50	226	4214
51	227	4152
52	228	4090
53	230	4034
54	231	3977
55	232	3925
56	234	3874
57	235	3822
58	236	3775
59	237	3727
60	239	3680
61	240	3633
62	241	3589
63	242	3546
64	243	3504
65	244	3465
66	246	3428
67	247	3390
68	248	3352
69	249	3316
70	250	3281
71	251	3245
72	252	3212
73	253	3178
74	255	3145
75	256	3113
76	257	3084
77	258	3054
78	260	3032
79	261	3008
80	263	2984
81	264	2959
82	264	2927
83	266	2901
84	267	2876
85	268	2851
86	269	2826
87	270	2802
88	271	2781
89	272	2759
90	274	2738
91	275	2722
92	277	2701
93	278	2681
94	279	2659
95	280	2639
96	281	2618
97	282	2598
98	283	2579
99	284	2563
100	286	2549
101	288	2536
102	290	2526
103	292	2516
104	294	2509
105	296	2500
106	298	2491
107	300	2482
108	302	2472
109	304	2461
110	306	2453
111	308	2444
112	310	2436
113	312	2428
114	314	2420
115	316	2413
116	318	2405
117	321	2404
118	324	2401
119	327	2398
120	329	2394
121	331	2387
122	334	2383
123	337	2385
124	340	2384
125	343	2383
126	345	2378
127	348	2376
128	352	2376
129	355	2375
130	357	2374
131	360	2373
132	364	2374
133	367	2374
134	371	2378
135	374	2381
136	377	2380
137	381	2381
138	384	2383
139	388	2384
140	391	2382
141	393	2375
142	396	2374
143	399	2374
144	402	2374
145	405	2371
146	408	2369
147	411	2368
148	414	2368
149	417	2367
150	420	2365
151	423	2362
152	426	2358
153	429	2358
154	432	2355
155	434	2352
156	437	2350
157	440	2347
158	443	2347
159	446	2344
160	448	2336
161	451	2333
162	453	2329
163	456	2326
164	460	2328
165	463	2326
166	465	2323
167	468	2321
168	471	2318
169	475	2321
170	478	2319
171	481	2317
172	483	2313
173	486	2310
174	489	2309
175	492	2307
176	496	2307
177	499	2307
178	503	2310
179	506	2308
180	509	2306
181	512	2304
182	515	2302
183	519	2303
184	522	2301
185	525	2299
186	528	2297
187	531	2293
188	534	2293
189	537	2291
190	540	2289
191	543	2287
192	546	2286
193	550	2285
194	553	2285
195	555	2279
196	557	2274
197	560	2269
198	562	2265
199	565	2262
200	568	2258
201	570	2254
202	573	2249
203	575	2246
204	578	2241
205	580	2235
206	582	2230
207	584	2223
208	586	2218
209	588	2214
210	590	2209
211	593	2204
212	595	2199
213	597	2195
214	600	2191
215	602	2185
216	604	2180
217	606	2175
218	608	2170
219	611	2167
220	613	2163
221	616	2158
222	618	2155
223	620	2150
224	623	2146
225	625	2142
226	628	2139
227	630	2135
228	633	2131
229	635	2126
230	637	2122
231	640	2118
232	642	2115
233	645	2112
234	647	2108
235	650	2104
236	652	2100
237	654	2096
238	657	2093
239	660	2090
240	662	2085
241	664	2082
242	666	2076
243	668	2071
244	671	2068
245	673	2064
246	675	2060
247	678	2056
248	680	2052
249	682	2048
250	685	2045
251	688	2044
252	691	2042
253	694	2039
254	697	2036
255	700	2035
256	704	2035
257	706	2033
258	709	2030
259	712	2028
260	715	2026
261	719	2025
262	721	2022
263	724	2020
264	727	2017
265	730	2015
266	733	2014
267	737	2013
268	740	2010
269	743	2008
270	746	2006
271	749	2005
272	751	2002
273	754	1999
274	757	1995
275	759	1993
276	763	1993
277	766	1991
278	769	1988
279	772	1986
280	775	1983
281	778	1982
282	781	1980
283	784	1977
284	787	1975
285	790	1974
286	794	1974
287	798	1973
288	801	1971
289	804	1970
290	807	1968
291	811	1967
292	813	1964
293	816	1960
294	819	1957
295	821	1954
296	824	1950
297	826	1946
298	828	1942
299	830	1937
300	832	1933
301	834	1929
302	836	1924
303	838	1920
304	841	1916
305	843	1913
306	846	1910
307	848	1907
308	851	1903
309	854	1901
310	856	1897
311	858	1893
312	861	1889
313	863	1886
314	866	1883
315	869	1881
316	872	1879
317	874	1876
318	877	1874
319	880	1871
320	884	1869
321	886	1867
322	889	1865
323	892	1862
324	895	1860
325	898	1857
326	901	1856
327	904	1853
328	907	1851
329	910	1848
330	913	1845
331	916	1843
332	919	1841
333	921	1837
334	924	1835
335	927	1832
336	930	1830
337	933	1829
338	937	1827
339	939	1824
340	942	1821
341	946	1820
342	949	1818
343	952	1815
344	955	1813
345	958	1811
346	961	1809
347	964	1806
348	967	1803
349	969	1800
350	972	1798
351	975	1796
352	979	1794
353	982	1792
354	985	1790
355	988	1788
356	991	1786
357	994	1783
358	997	1780
359	1000	1777
360	1002	1775
361	1006	1773
362	1008	1769
363	1011	1766
364	1014	1764
365	1017	1762
366	1021	1761
367	1024	1758
368	1027	1756
369	1030	1754
370	1033	1752
371	1037	1751
372	1040	1749
373	1043	1747
374	1047	1745
375	1051	1744
376	1054	1743
377	1057	1740
378	1061	1738
379	1064	1736
380	1067	1733
381	1069	1730
382	1071	1726
383	1074	1722
384	1075	1718
385	1077	1714
386	1079	1710
387	1081	1706
388	1083	1701
389	1084	1696
390	1086	1691
391	1087	1686
392	1088	1681
393	1090	1677
394	1091	1672
395	1093	1667
396	1094	1662
397	1095	1657
398	1097	1652
399	1098	1647
400	1099	1643
401	1101	1638
402	1102	1633
403	1103	1628
404	1105	1623
405	1106	1618
406	1107	1613
407	1108	1608
408	1109	1603
409	1111	1599
410	1113	1595
411	1114	1590
412	1115	1585
413	1116	1580
414	1118	1576
415	1119	1572
416	1121	1567
417	1122	1562
418	1123	1557
419	1123	1552
420	1124	1547
421	1126	1543
422	1127	1538
423	1128	1533
424	1129	1528
425	1130	1523
426	1131	1518
427	1132	1513
428	1133	1508
429	1134	1503
430	1135	1498
431	1136	1493
432	1137	1489
433	1138	1484
434	1138	1479
435	1139	1474
436	1141	1470
437	1142	1466
438	1143	1461
439	1144	1456
440	1145	1451
441	1146	1446
442	1146	1442
443	1147	1437
444	1148	1432
445	1149	1428
446	1150	1423
447	1151	1418
448	1152	1414
449	1153	1409
450	1154	1405
451	1155	1400
452	1157	1397
453	1158	1392
454	1159	1388
455	1160	1383
456	1160	1379
457	1161	1374
458	1162	1370
459	1163	1365
460	1164	1361
461	1165	1357
462	1166	1352
463	1167	1348
464	1168	1343
465	1169	1339
466	1169	1335
467	1171	1331
468	1172	1327
469	1174	1324
470	1175	1320
471	1177	1317
472	1178	1313
473	1179	1308
474	1180	1304
475	1181	1300
476	1182	1296
477	1183	1291
478	1183	1287
479	1184	1283
480	1185	1279
481	1187	1276
482	1188	1272
483	1189	1268
484	1190	1263
485	1191	1259
486	1192	1255
487	1192	1251
488	1193	1247
489	1194	1243
490	1195	1239
491	1196	1235
492	1197	1231
493	1198	1227
494	1199	1223
495	1200	1219
496	1201	1216
497	1202	1212
498	1203	1208
499	1204	1204
500	1205	1200
501	1206	1196
502	1207	1192
503	1208	1189
504	1209	1185
505	1210	1181
506	1211	1177
507	1212	1173
508	1213	1170
509	1214	1166
510	1215	1162
511	1216	1159
512	1218	1156
513	1219	1152
514	1220	1149
515	1220	1145
516	1221	1141
517	1222	1137
518	1223	1133
519	1224	1130
520	1225	1126
521	1226	1122
522	1227	1119
523	1228	1115
524	1229	1112
525	1229	1108
526	1230	1104
527	1232	1101
528	1233	1098
529	1234	1094
530	1235	1091
